name,type,area,capacity,website,contact_url,note
IWAI OMOTESANDO,ゲストハウス,渋谷区神宮前（表参道）,着席36〜100名,https://iwai.official-wedding.jp/,https://iwai.official-wedding.jp/faq/,運営:CRAZY Inc. 人前式スタイル。口コミランキング上位常連
Q.E.D.CLUB,レストラン（ゲストハウス型）,目黒区中目黒（恵比寿）,着席30〜106名,http://www.qed.co.jp/wedding/,http://www.qed.co.jp/,元ハンガリー大使公邸。1100坪の敷地
Restaurant Casita（カシータ）,レストラン,渋谷区神宮前（表参道）,着席最大80名,https://wedding.casita.jp/,https://www.casita.jp/,持ち込み自由
ラリアンス（L'Alliance）,レストラン,新宿区神楽坂,着席6〜80名,https://www.lalliance-w.jp/,https://www.lalliance.jp/,天井高15m。ミシュラン実績あり
リストランテASO,レストラン,渋谷区猿楽町（代官山）,着席60〜130名,https://www.hiramatsuwedding.jp/aso/,https://www.hiramatsuwedding.jp/aso/access/,運営:ひらまつ。邸宅イタリアン。ガーデンチャペル
オーベルジュ・ド・リル トーキョー,レストラン,港区西麻布,着席6〜70名,https://www.hiramatsuwedding.jp/aubergedelill-tokyo/,https://www.hiramatsuwedding.jp/aubergedelill-tokyo/access/,運営:ひらまつ。仏アルザスの名店。一日一組貸切
レストランひらまつ 広尾,レストラン,渋谷区広尾,着席2〜50名,https://hiramatsu-hiroo.jp/wedding/,https://hiramatsu-hiroo.jp/reservations/,運営:ひらまつ。少人数向け
TABLEAUX（タブローズ）,レストラン,渋谷区猿楽町（代官山）,着席最大85名,https://tableaux-global-dining.official-wedding.jp/,https://tableaux.jp/,運営:グローバルダイニング。30年以上の歴史
XEX TOKYO（ゼックス 東京）,レストラン,千代田区丸の内（東京駅）,着席〜100名,https://www.xexwedding.com/tokyo/,https://www.xexwedding.com/,大丸東京13F。独立型チャペルあり
XEX 日本橋（ゼックス 日本橋）,レストラン,中央区日本橋室町,着席〜90名,https://www.xexwedding.com/nihonbashi/,https://xexnihonbashi.official-wedding.jp/,三越前駅直結
The Place of Tokyo,ゲストハウス,港区芝公園,着席〜120名,https://place-tokyo.com/,https://place-tokyo.com/petit/,東京タワー至近
THINGS Aoyama Organic Garden.dth,ゲストハウス,港区南青山,着席〜100名,https://www.things-aoyama.com/,https://www.things-aoyama.com/wedding_fair/,カリフォルニアスタイル
代官山 鳳鳴館,ゲストハウス,渋谷区猿楽町（代官山）,着席〜80名,https://homeikan.jp/,https://homeikan.jp/access/,大正浪漫の洋館。和装対応
ルシェルブラン表参道,ゲストハウス,渋谷区神宮前（表参道）,着席6〜76名,https://www.lecielblanc.com/,https://www.lecielblanc.com/plan/,キャットストリート沿い3階建て邸宅
